drug,disease
miconazole,"Tinea Pedis, Balanoposthitis, Tinea Corporis, Cutaneous Candidiasis, Oral Thrush, Vaginal Yeast Infection, Diaper Rash, Tinea Cruris, Intertrigo, Tinea Versicolor"
midazolam,"ICU Agitation, Light Anesthesia, Light Sedation, Status Epilepticus"
midodrine,"Postural Orthostatic Tachycardia Syndrome, Dysautonomia, Hypotension"
midostaurin,"Acute Myeloid Leukemia, Systemic Mastocytosis"
mifepristone,"Abortion, Cushing's Syndrome"
migalastat,Fabry Disease
miglustat,"Gaucher Disease, Niemann-Pick Disease"
milnacipran,"Reflex Sympathetic Dystrophy Syndrome, Fibromyalgia, Somatoform Pain Disorder"
miltefosine,Leishmaniasis
minocycline,"Acne, Rosacea, Actinomycosis, Campylobacter Gastroenteritis, Bartonellosis, Brucellosis, Bullous Pemphigoid, Skin or Soft Tissue Infection, Cholera, Skin and Structure Infection, Granuloma Inguinale, Meningitis, Meningococcal, Mycoplasma Pneumonia, Ocular Rosacea, Pemphigoid, Pemphigus, Periodontitis, Psittacosis, Q Fever, Rabbit Fever (Tularemia), Trachoma"
minoxidil,Alopecia
mirabegron,"Urinary Incontinence, Urinary Frequency"
mirtazapine,"Anxiety, Post Traumatic Stress Disorder, Major Depressive Disorder, Depression, Insomnia, Hot Flashes, Obsessive Compulsive Disorder"
misoprostol,"Abortion, Cervical Ripening, Stomach Ulcer (Gastric Ulcer), Gynecological Conditions, Labor Induction, NSAID-Induced Ulcer Prophylaxis, Postpartum Bleeding, Sciatica"
mitomycin,"Anal Cancer, Bladder Cancer, Stomach Cancer, Pancreatic Cancer, Glaucoma"
mitotane,Adrenal Cortical Carcinoma
mitoxantrone,"Acute Nonlymphocytic Leukemia, Non-Hodgkin's Lymphoma, Mantle Cell Lymphoma"
modafinil,"Chronic Fatigue Syndrome, Narcolepsy, Drowsiness (Hypersomnia), Fatigue, Obstructive Sleep Apnea/Hypopnea Syndrome, Shift Work Sleep Disorder"
moexipril,"Diabetic Kidney Disease (Diabetic Nephropathy), Left Ventricular Dysfunction"
mogamulizumab,Mycosis Fungoides
mometasone,"Atopic Dermatitis, Asthma, Eczema, Dermatitis, Psoriasis, Nasal Polyps, Sinus Symptoms"
montelukast,"Allergic Rhinitis, Asthma, Asthma, Maintenance, COPD, Bronchospasm Prophylaxis"
morphine,"Chronic Pain, Neonatal Abstinence Syndrome"
moxetumomab pasudotox,Hairy Cell Leukemia
moxidectin,"Onchocerciasis, River Blindness"
moxifloxacin,"Sinusitis, Anthrax, Anthrax Prophylaxis, Conjunctivitis, Bacterial, Pneumonia, Plague, Prostatitis, Cutaneous Bacillus anthracis, Intraabdominal Infection, Ophthalmic Surgery, Plague Prophylaxis, Tuberculosis, Active"
multivitamin,"Dietary Supplementation, Hyperhomocysteinemia"
multivitamin with iron,"Anemia, Vitamin/Mineral Supplementation and Deficiency"
multivitamin with minerals,Vitamin/Mineral Supplementation and Deficiency
"multivitamin, prenatal",Vitamin/Mineral Supplementation during Pregnancy/Lactation
mumps virus vaccine,"Measles Prophylaxis, Measles Prophylaxis, Mumps Prophylaxis, Mumps Prophylaxis, Mumps Prophylaxis, Rubella Prophylaxis, Rubella Prophylaxis, Vaccination and Prophylaxis, Varicella-Zoster, Prophylaxis"
mupirocin,"Skin and Structure Infection, Impetigo, Nasal Carriage of Staphylococcus aureus, Paronychia, Secondary Cutaneous Bacterial Infections"
muromonab-cd3,"Rejection Prophylaxis, Rejection Reversal"
mycophenolate mofetil,"Pulmonary Fibrosis, Autoimmune Hepatitis, Bullous Pemphigoid, Cogan's Syndrome, Nephrotic Syndrome, Crohn's Disease, Dermatomyositis, Systemic Lupus Erythematosus, Evan's Syndrome, Graft-versus-host disease, Linear IgA Disease, Myasthenia Gravis, Organ Transplant, Rejection Prophylaxis, Pemphigoid, Pemphigus, Uveitis"
mycophenolic acid,"Dermatomyositis, Rejection Prophylaxis"
nabilone,"Fibromyalgia, Nausea/Vomiting, Chemotherapy Induced"
nabumetone,"Muscle Pain, Frozen Shoulder, Osteoarthritis, Back Pain"
nadolol,"Mitral Valve Prolapse, Benign Essential Tremor, Esophageal Variceal Hemorrhage Prophylaxis, Glaucoma, Lithium Tremor, Long QT Syndrome, Parkinsonian Tremor, Portal Hypertension, Supraventricular Tachycardia"
nafarelin,Precocious Puberty
naldemedine,Opioid-Induced Constipation
naloxegol,"Constipation, Chronic, Constipation, Drug Induced, Opioid-Induced Constipation"
naloxone,"Opiate Dependence, Opioid Overdose, Reversal of Opioid Sedation"
naltrexone,"Alcohol Dependence, Fibromyalgia, Obesity, Opiate Dependence, Smoking Cessation, Trichotillomania, Weight Loss"
naphazoline,"Eye Redness, Eye Redness/Itching"
naproxen,"Tendonitis, Muscle Pain, Frozen Shoulder, Diffuse Idiopathic Skeletal Hyperostosis, Ankylosing Spondylitis, Rheumatoid Arthritis, Osteoarthritis, Aseptic Necrosis, Back Pain, Bursitis, Radiculopathy, Chronic Myofascial Pain, Costochondritis, Dysautonomia, Period Pain (Dysmenorrhea), Fever, Gout, Acute, Headache, Herniated Disk, Juvenile Rheumatoid Arthritis, Neck Pain, NSAID-Induced Ulcer Prophylaxis, Pain, Pain/Fever, Sciatica, Sinus Symptoms, Spondylolisthesis, Transverse Myelitis"
naratriptan,Migraine
natalizumab,"Crohn's Disease, Maintenance, Multiple Sclerosis"
natamycin,Eye Conditions
nebivolol,Mitral Valve Prolapse
nedocromil,"Conjunctivitis, Allergic"
nelarabine,Lymphoma
neomycin,"Acute Otitis Externa, Conjunctivitis, Bacterial, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Blepharitis, Blepharitis, Blepharitis, Blepharoconjunctivitis, Bowel Preparation, Chronic Otitis Media, Diarrhea, Otitis Media, Otitis Externa, Otitis Externa, Hordeolum, Hepatic Coma, Hepatic Encephalopathy, Keratitis, Keratitis, Keratitis, Keratoconjunctivitis, Keratoconjunctivitis, Keratoconjunctivitis, Paronychia, Paronychia, Uveitis"
neostigmine,"Myasthenia Gravis, Reversal of Neuromuscular Blockade, Reversal of Nondepolarizing Muscle Relaxants, Urinary Retention"
nepafenac,"Postoperative Increased Intraocular Pressure, Postoperative Ocular Inflammation"
neratinib,"Breast Cancer, Adjuvant"
nevirapine,Reduction of Perinatal Transmission of HIV
niacin,"High Cholesterol, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL, Hyperlipoproteinemia, Niacin Deficiency, Pellagra"
niacinamide,"Niacin Deficiency, Pemphigus"
nicotine,Smoking Cessation
nifedipine,"Angina Pectoris Prophylaxis, Hypertrophic Cardiomyopathy, Hypertensive Emergency, Premature Labor, Raynaud's Syndrome"
nilotinib,Chronic Myelogenous Leukemia
nimodipine,"Ischemic Stroke, Subarachnoid Hemorrhage"
nintedanib,"Idiopathic Pulmonary Fibrosis, Systemic Sclerosis-Associated Interstitial Lung Disease"
niraparib,"Fallopian Tube Cancer, Peritoneal Cancer"
nisoldipine,Raynaud's Syndrome
nitazoxanide,"Amebiasis, Ascariasis, Cryptosporidiosis, Dwarf Tapeworm Infection (Hymenolepis nana), Giardiasis"
nitisinone,Hereditary Tyrosinemia Type 1
nitric oxide,Respiratory Failure
nitrofurantoin,"Urinary Tract Infection, Bladder Infection, Prevention of Bladder infection (Cystitis Prophylaxis)"
nitroglycerin,"Angina, Anal Fissure and Fistula, Angina Pectoris Prophylaxis, Heart Attack (Myocardial Infarction), Raynaud's Syndrome"
nitroprusside,"Induced Hypotension, Hypertensive Emergency"
nivolumab,"Renal Cell Carcinoma, Hodgkin's Lymphoma, Non-Small Cell Lung Cancer, Small Cell Lung Cancer, Melanoma, Hepatocellular Carcinoma, Head and Neck Cancer, Melanoma, Metastatic, Urothelial Carcinoma"
norepinephrine,"Hypotension, Shock"
norethindrone,"Abnormal Uterine Bleeding, Abnormal Uterine Bleeding, Amenorrhea, Atrophic Urethritis, Birth Control (Contraception), Birth Control (Contraception), Endometriosis, Endometriosis, Gonadotropin Inhibition, Hypoestrogenism, Menstrual Disorders, Polycystic Ovary Syndrome, Postmenopausal Symptoms, Postmenopausal Symptoms, Prevention of Osteoporosis"
norgestimate,"Abnormal Uterine Bleeding, Birth Control (Contraception), Endometriosis, Ovarian Cysts, Gonadotropin Inhibition"
norgestrel,Emergency Contraception (Postcoital Contraception)
nortriptyline,"Burning Mouth Syndrome (Glossopyrosis), Reflex Sympathetic Dystrophy Syndrome, Neurosis, Cyclic Vomiting Syndrome, Diabetic Peripheral Neuropathy, Dysautonomia, Irritable Bowel Syndrome, Migraine Prevention (Migraine Prophylaxis), Neuralgia, Postherpetic Neuralgia, Primary Nocturnal Enuresis, Smoking Cessation, Tinnitus, Vulvodynia"
nusinersen,Spinal Muscular Atrophy
nystatin,"Cutaneous Candidiasis, Cutaneous Candidiasis, Oral Thrush, Vaginal Yeast Infection, Gastrointestinal Candidiasis, Paronychia"
obeticholic acid,Primary Biliary Cholangitis
obinutuzumab,"Chronic Lymphocytic Leukemia, Follicular Lymphoma"
ocriplasmin,Vitreomacular Adhesion
octreotide,"Acromegaly, Carcinoid Tumor, Postural Orthostatic Tachycardia Syndrome, Diarrhea, Dumping Syndrome, Gastrinoma, Glucagonoma, Insulinoma, Pituitary Adenoma, Small Bowel or Pancreatic Fistula, Vasoactive Intestinal Peptide Tumor"
ofatumumab,Chronic Lymphocytic Leukemia
ofloxacin,"Acute Otitis Externa, Anthrax, Anthrax Prophylaxis, Conjunctivitis, Bacterial, Campylobacter Gastroenteritis, Bone infection (Osteomyelitis), Plague, Methicillin-Resistant Staphylococcus Aureus Infection, Cervicitis, Prostatitis, Corneal Ulcer, Traveler's Diarrhea, Otitis Media, Epididymitis, Non-Specific, Epididymitis, Sexually Transmitted, Gonococcal Infection, Disseminated, Mycobacterium avium-intracellulare, Treatment, Ophthalmic Surgery, Pelvic Inflammatory Disease, Salmonella Enteric Fever, Salmonella Gastroenteritis, Shigellosis"
olanzapine,"Agitated State, Agitation, Anorexia, Anorexia Nervosa, Asperger Syndrome, Body Dysmorphic Disorder, Bipolar Disorder, Borderline Personality Disorder, Schizophrenia, Paranoid Disorder, Depressive Psychosis, Nausea/Vomiting, Chemotherapy Induced, Obsessive Compulsive Disorder, Schizoaffective Disorder, Tourette's Syndrome"
olaparib,"Ovarian Cancer, Pancreatic Cancer"
olaratumab,Soft Tissue Sarcoma
olmesartan,Migraine Prevention (Migraine Prophylaxis)
olodaterol,"COPD, COPD"
olopatadine,Seasonal Allergic Conjunctivitis
olsalazine,"Ulcerative Colitis, Active, Ulcerative Colitis, Maintenance"
omacetaxine,Chronic Myelogenous Leukemia
omalizumab,Urticaria
ombitasvir,Hepatitis C
omega-3 polyunsaturated fatty acids,"Dietary Supplementation, Hypertriglyceridemia"
omeprazole,"GERD, GERD, Barrett's Esophagus, Duodenal Ulcer, Gastritis/Duodenitis, Indigestion, Erosive Esophagitis, Erosive Esophagitis, Laryngopharyngeal Reflux, Stomach Ulcer (Gastric Ulcer), Stomach Ulcer (Gastric Ulcer), Gastrointestinal Hemorrhage, Helicobacter Pylori Infection, Helicobacter Pylori Infection, Hiatal Hernia, Systemic Mastocytosis, Multiple Endocrine Adenomas, Prevention of Cardiovascular Disease, Zollinger-Ellison Syndrome"
onabotulinumtoxinA,"Overactive Bladder, Blepharospasm, Bruxism, Facial Wrinkles, Cervical Dystonia (Spasmodic Torticollis), Chronic Spasticity, Crow's Feet, Urinary Frequency, Dystonia, Hyperhidrosis, Forehead Lines, Lower Limb Spasticity, Orbicularis Oculi, Strabismus, Upper Limb Spasticity"
onasemnogene abeparvovec,Spinal Muscular Atrophy
ondansetron,"Alcohol Dependence, Gastroenteritis, Pruritus, Nausea/Vomiting, Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative, Nausea/Vomiting, Radiation Induced, Obsessive Compulsive Disorder, Postanesthetic Shivering"
"ophthalmic irrigation, intraocular",Ophthalmic Surgery
opium,Diarrhea
orlistat,"Nonalcoholic Fatty Liver Disease, Obesity"
orphenadrine,"Muscle Spasm (Involuntary Hypertonicity), Muscle Spasm (Involuntary Hypertonicity)"
oseltamivir,"Avian Influenza, Influenza, Influenza Prophylaxis, Swine Flu"
ospemifene,"Dyspareunia, Perimenopausal Symptoms, Vaginal Dryness"
oxacillin,"Endocarditis, Septicemia"
oxaliplatin,Colorectal Cancer
oxandrolone,"Alcoholic Liver Damage, Turner Syndrome, Weight Loss"
oxaprozin,Juvenile Rheumatoid Arthritis
oxazepam,Alcohol Withdrawal
oxcarbazepine,"Seizures (Convulsions), Bipolar Disorder, Borderline Personality Disorder, Cyclothymic Disorder, Epilepsy, Neuropathic Pain, Trigeminal Neuralgia"
oxybutynin,"Urinary Incontinence, Prostatitis, Urinary Frequency, Dysuria, Hyperhidrosis, Spina bifida"
oxycodone,"Chronic Pain, Chronic Pain, Pain, Pain"
oxymetazoline,"Nasal Congestion, Eye Redness"
oxymetholone,Anemia
oxymorphone,Labor Pain
oxytocin,"Abortion, Labor Induction, Postpartum Bleeding"
ozenoxacin,Impetigo
paclitaxel,"Breast Cancer, Breast Cancer, Adjuvant, Breast Cancer, Metastatic, Kaposi's Sarcoma, Non-Small Cell Lung Cancer, Wilms' Tumor (Nephroblastoma), Ovarian Cancer"
paclitaxel protein-bound,Pancreatic Cancer
palbociclib,"Breast Cancer, Male, Breast Cancer, Metastatic, Liposarcoma"
palifermin,Mucositis
paliperidone,"Autism, Borderline Personality Disorder, Schizophrenia, Schizoaffective Disorder"
palivizumab,Respiratory Syncytial Virus
palonosetron,"Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative"
pamabrom,"Abdominal Distension, Edema, Premenstrual Dysphoric Disorder, Premenstrual Dysphoric Disorder, Premenstrual Syndrome, Premenstrual Syndrome, Premenstrual Syndrome"
pamidronate,"Breast Cancer, Bone Metastases, Hypercalcemia, Hypercalcemia of Malignancy, Osteolytic Bone Lesions of Multiple Myeloma, Paget's Disease"
pancreatin,"Pancreatic Cancer, Chronic Pancreatitis, Pancreatitis"
pancrelipase,"Chronic Pancreatitis, Cystic Fibrosis, Pancreatic Exocrine Dysfunction"
panitumumab,Colorectal Cancer
pantoprazole,"GERD, Barrett's Esophagus, Dumping Syndrome, Duodenal Ulcer, Gastritis/Duodenitis, Erosive Esophagitis, Laryngopharyngeal Reflux, Stomach Ulcer (Gastric Ulcer), Helicobacter Pylori Infection, Peptic Ulcer, Stress Ulcer Prophylaxis, Zollinger-Ellison Syndrome"
papaverine,Vasospasm
parathyroid hormone,"Hypocalcemia, Hypoparathyroidism"
parenteral nutrition solution,Total Parenteral Nutrition
parenteral nutrition solution w,Total Parenteral Nutrition
paricalcitol,Secondary Hyperparathyroidism
paritaprevir,Hepatitis C
paromomycin,"Amebiasis, Beef Tapeworm Infection (Taenia saginata), Cryptosporidiosis, Dientamoeba fragilis, Fish Tapeworm Infection (Diphyllobothrium latum), Dog Tapeworm Infection (Dipylidium caninum), Dwarf Tapeworm Infection (Hymenolepis nana), Giardiasis, Hepatic Coma, Pork Tapeworm Infection (Taenia solium)"
paroxetine,"Anxiety and Stress, Anxiety, Generalized Anxiety Disorder, Body Dysmorphic Disorder, Post Traumatic Stress Disorder, Persistent Depressive Disorder, Depression, Postpartum Depression, Excoriation Disorder, Dysautonomia, Hot Flashes, Intermittent Explosive Disorder, Obsessive Compulsive Disorder, Panic Disorder, Social Anxiety Disorder, Premenstrual Dysphoric Disorder, Somatoform Pain Disorder, Trichotillomania, Vulvodynia"
pasireotide,"Acromegaly, Cushing's Syndrome"
patiromer,Hyperkalemia
patisiran,Amyloidogenic Transthyretin Amyloidosis
pazopanib,"Renal Cell Carcinoma, Soft Tissue Sarcoma"
pegademase bovine,"Adenosine Deaminase Deficiency, Immunodeficiency"
pegaptanib,Macular Degeneration
pegaspargase,Acute Lymphoblastic Leukemia
pegfilgrastim,"Neutropenia Associated with Chemotherapy, Neutropenia Associated with Radiation"
peginterferon alfa-2a,"Hepatitis B, Hepatitis C"
peginterferon alfa-2b,"Chronic Myelogenous Leukemia, Melanoma, Hepatitis B, Hepatitis C, Melanoma, Metastatic, Thrombocythemia"
pegloticase,Gout
pegvaliase,Phenylketonuria
pegvisomant,Acromegaly
pembrolizumab,"Cervical Cancer, Endometrial Cancer, Small Cell Lung Cancer, Melanoma, Merkel Cell Carcinoma, Esophageal Carcinoma, Gastric Cancer, Hepatocellular Carcinoma, Head and Neck Cancer, Melanoma, Metastatic, Primary Mediastinal Large B-cell Lymphoma, Solid Tumors, Urothelial Carcinoma"
pemetrexed,"Non-Small Cell Lung Cancer, Malignant Pleural Mesothelioma"
penciclovir,Cold Sores (Herpes Simplex Labialis)
penicillamine,"Cystinuria, Wilson's Disease"
penicillin g benzathine,"Glomerulonephritis, Bejel, Congenital Syphilis, Neurosyphilis, Rheumatic Fever Prophylaxis, Streptococcal Infection, Streptococcal Infection, Syphilis, Early, Syphilis, Latent, Syphilitic Aortic Aneurysm, Tertiary Syphilis"
penicillin g potassium,"Actinomycosis, Anthrax, Botulism, Clostridioides difficile Infection, Congenital Syphilis, Cutaneous Bacillus anthracis, Deep Neck Infection, Diphtheria, Fusospirochetosis, Trench Mouth, Gonococcal Infection, Disseminated, Gram Negative Infection, Leptospirosis, Lyme Disease, Neurologic, Meningitis, Meningococcal, Meningitis, Pneumococcal, Meningitis, Streptococcus Group B, Neurosyphilis, Prevention of Perinatal Group B Streptococcal Disease, Rat-bite Fever, Streptococcal Infection, Septicemia, Tetanus"
penicillin g sodium,"Actinomycosis, Botulism, Clostridioides difficile Infection, Congenital Syphilis, Deep Neck Infection, Diphtheria, Fusospirochetosis, Trench Mouth, Gonococcal Infection, Disseminated, Gram Negative Infection, Joint Infection, Leptospirosis, Meningitis, Meningococcal, Meningitis, Pneumococcal, Meningitis, Streptococcus Group B, Neurosyphilis, Prevention of Perinatal Group B Streptococcal Disease, Rat-bite Fever, Streptococcal Infection, Septicemia, Tetanus"
penicillin v potassium,"Clostridioides difficile Infection, Fusospirochetosis, Trench Mouth, Lyme Disease, Erythema Chronicum Migrans, Rat-bite Fever, Rheumatic Fever Prophylaxis, Streptococcal Infection, Tonsillitis/Pharyngitis"
pentamidine,"Trypanosomiasis, Leishmaniasis, Pneumocystis Pneumonia, Pneumocystis Pneumonia Prophylaxis"
pentetate calcium trisodium,Radiation Emergency
pentetate zinc trisodium,Radiation Emergency
pentobarbital,Status Epilepticus
pentosan polysulfate sodium,Interstitial Cystitis
pentostatin,Hairy Cell Leukemia
pentoxifylline,Intermittent Claudication
peramivir,"Influenza, Swine Flu"
perflutren,Echocardiography
perindopril,"Coronary Artery Disease, Diabetic Kidney Disease (Diabetic Nephropathy), Left Ventricular Dysfunction"
permethrin,"Lice, Head Lice, Scabies"
perphenazine,"Agitation, Psychosis"
"pertussis, acellular","Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Haemophilus influenzae Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis"
pexidartinib,Tenosynovial Giant Cell Tumor
phenazopyridine,"Interstitial Cystitis, Dysuria"
phendimetrazine,Obesity
pheniramine,Eye Redness/Itching
phenobarbital,"Seizures (Convulsions), Hyperbilirubinemia, Duodenal Ulcer, Enterocolitis, Irritable Bowel Syndrome, Sedation"
phenol,"Herpes Simplex, Sore Throat, Tonsillitis/Pharyngitis"
phenoxybenzamine,Pheochromocytoma
phentermine,"Obesity, Obesity, Weight Loss, Weight Loss"
phentolamine,"Dermal Necrosis, Treatment, Pheochromocytoma, Pheochromocytoma Diagnosis, Reversal of Anesthesia"
phenylephrine,"Allergies, Allergies, Nasal Congestion, Cold Symptoms, Cough and Nasal Congestion, Cough and Nasal Congestion, Cough and Nasal Congestion, Eye Redness, Influenza, Hemorrhoids, Hypotension, Ophthalmic Surgery, Pain/Fever, Pain/Fever, Rhinorrhea, Rhinorrhea, Rhinorrhea, Pupillary Dilation, Rhinitis, Rhinitis, Shock, Sinus Symptoms, Sinus Symptoms, Sinus Symptoms, Sinus Symptoms, Supraventricular Tachycardia"
phenytoin,"Seizures (Convulsions), Arrhythmia, Cluster-Tic Syndrome, Myotonia Congenita, Epilepsy, Peripheral Neuropathy, Neurosurgery, Seizure Prophylaxis During or Following Neurosurgery, Status Epilepticus, Trigeminal Neuralgia"
physostigmine,Anticholinergic Syndrome
phytonadione,"Hypoprothrombinemia, Anticoagulant Induced, Hypoprothrombinemia, Not Associated with Anticoagulant Therapy, Hypoprothrombinemia, Prophylaxis, Vitamin K Deficiency"
pibrentasvir,Hepatitis C
pilocarpine,"Xerostomia, Glaucoma, Glaucoma, Narrow Angle, Intraocular Hypertension, Production of Miosis"
pimavanserin,Parkinson's Disease Psychosis
pimecrolimus,"Eczema, Perioral Dermatitis"
pimozide,Tourette's Syndrome
pioglitazone,"Diabetes, Type 2, Nonalcoholic Fatty Liver Disease"
piperacillin,"Aspiration Pneumonia, Appendectomy, Appendicitis, Bacteremia, Bone infection (Osteomyelitis), Cesarean Section, Deep Neck Infection, Endometritis, Febrile Neutropenia, Hysterectomy, Intraabdominal Infection, Nosocomial Pneumonia, Peritonitis, Pneumonia with Cystic Fibrosis, Septicemia"
piperonyl butoxide,"Lice, Head Lice"
pirfenidone,Idiopathic Pulmonary Fibrosis
piroxicam,"Frozen Shoulder, Temporomandibular Joint Disorder"
pitavastatin,Dyslipidemia
plecanatide,Chronic Idiopathic Constipation
pneumococcal 13-valent vaccine,Pneumococcal Disease Prophylaxis
pneumococcal 23-polyvalent vaccine,Pneumococcal Disease Prophylaxis
podofilox,Condylomata Acuminata
podophyllum resin,Human Papilloma Virus
polatuzumab vedotin,Diffuse Large B-Cell Lymphoma
polidocanol,Varicose Veins
"poliovirus vaccine, inactivated","Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Diphtheria Prophylaxis, Haemophilus influenzae Prophylaxis, Haemophilus influenzae Prophylaxis, Haemophilus influenzae Prophylaxis, Hepatitis B Prevention (Hepatitis B Prophylaxis), Hepatitis B Prevention (Hepatitis B Prophylaxis), Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Poliomyelitis Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis, Tetanus Prophylaxis"
poly-l-lactic acid,Facial Lipoatrophy
poly-ureaurethane,Nail Dystrophy
polyethylene glycol 3350,"Bowel Preparation, Constipation, Constipation, Acute"
polyethylene glycol 3350 with electrolytes,"Bowel Preparation, Constipation, Chronic, Gastrointestinal Decontamination"
polymyxin b,"Conjunctivitis, Bacterial, Conjunctivitis, Bacterial, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Bacterial Skin Infection, Blepharitis, Blepharitis, Blepharitis, Blepharitis, Blepharoconjunctivitis, Blepharoconjunctivitis, Blepharoconjunctivitis, Otitis Media, Otitis Externa, Hordeolum, Hordeolum, Keratitis, Keratitis, Keratitis, Keratoconjunctivitis, Keratoconjunctivitis, Keratoconjunctivitis, Keratoconjunctivitis, Paronychia, Paronychia, Uveitis"
pomalidomide,Multiple Myeloma
ponatinib,"Acute Lymphoblastic Leukemia, Chronic Myelogenous Leukemia"
poractant,Respiratory Distress Syndrome
porfimer,Esophageal Carcinoma
posaconazole,"Aspergillosis, Invasive, Candidemia, Oral Thrush"
potassium acid phosphate,Urinary Acidification
potassium bicarbonate,"Hypokalemia, Hypokalemia, Prevention of Hypokalemia, Prevention of Hypokalemia"
potassium chloride,"Hypokalemia, Hypokalemia, Prevention of Hypokalemia, Prevention of Hypokalemia"
potassium citrate,"Urinary Tract Stones, Nephrolithiasis, Metabolic Acidosis, Renal Tubular Acidosis, Urinary Alkalinization, Urinary Alkalinization"
potassium gluconate,"Hypokalemia, Prevention of Hypokalemia"
potassium iodide,"Cutaneous Sporotrichosis, Hyperthyroidism, Hyperthyroidism, Radiation Emergency"
potassium phosphate,"Hypophosphatemia, Hypophosphatemia, Urinary Acidification"
potassium sulfate,Bowel Preparation
povidone iodine,Topical Disinfection
prabotulinumtoxinA,Forehead Lines
pralatrexate,"Lymphoma, Peripheral T-cell Lymphoma"
pralidoxime,"Anticholinesterase Overdose, Nerve Agent Poisoning, Nerve Agent Poisoning, Organophosphate Poisoning, Organophosphate Poisoning"
pramipexole,"Restless Legs Syndrome, Periodic Limb Movement Disorder, Parkinson's Disease, Tardive Dyskinesia"
pramoxine,"Bacterial Skin Infection, Bacterial Skin Infection, Minor Cuts, Dermatological Disorders, Hemorrhoids, Hemorrhoids, Insect Bites, Minor Skin Irritation, Poison Ivy, Poison Oak, Poison Sumac"
prasugrel,"Acute Coronary Syndrome, Myocardial Infarction, Prophylaxis"
pravastatin,"High Cholesterol, High Cholesterol, Familial Heterozygous, Hyperlipoproteinemia Type IIa, Elevated LDL, Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL, Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL, Hyperlipoproteinemia Type IV, Elevated VLDL, Hyperlipoproteinemia, Ischemic Stroke, Prophylaxis, Myocardial Infarction, Prophylaxis, Revascularization Procedures, Prophylaxis"
praziquantel,"Beef Tapeworm Infection (Taenia saginata), Liver Fluke (Clornorchis sinensis), Cysticercus cellulosae, Fish Tapeworm Infection (Diphyllobothrium latum), Dog Tapeworm Infection (Dipylidium caninum), Dwarf Tapeworm Infection (Hymenolepis nana), Echinococcus, Fasciolopsis buski, Intestinal Fluke, Heterophyes heterophyes, Intestinal Fluke, Metagonimus yokogawai, Intestinal Fluke, Naophyetus salmincola, Opisthorchis viverrini, Liver Fluke, Paragonimus westermani, Lung Fluke, Pork Tapeworm Infection (Taenia solium), Schistosoma haematobium, Schistosoma japonicum, Schistosoma mansoni, Schistosoma mekongi"
prazosin,"Anxiety and Stress, Benign Prostatic Hyperplasia, Post Traumatic Stress Disorder, Nightmares, Raynaud's Syndrome"
prednisolone,"Asthma, acute, Conjunctivitis, Allergic, Blepharitis, Blepharitis, Bronchopulmonary Dysplasia, Bullous Pemphigoid, Nephrotic Syndrome, Crohn's Disease, Acute, Dermatitis, Immunosuppression, Inflammatory Conditions, Iritis, Keratitis, Keratitis, Keratoconjunctivitis, Keratoconjunctivitis, Pemphigoid, Pemphigus, Postoperative Ocular Inflammation, Ulcerative Colitis, Active, Uveitis"
